hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
111,2020-01-10 15:00:00,114.629,30.27666666666667,1.2069760693953702,114.629,114.629,0.0,0.0,0.0,955.4581818181816,955.4581818181816,0.0,-0.0,1245.900542
112,2020-01-10 16:00:00,37.889,18.58,0.740689707234371,0.0,0.0,37.889,0.0,-37.889,955.4581818181816,993.3471818181818,0.0,1.0,1203.080213
113,2020-01-10 17:00:00,29.297,46.17769230769231,1.8408687511379704,129.297,29.297,0.0,100.0,100.0,993.3471818181818,811.529,0.0,-0.0,1161.485577
114,2020-01-10 18:00:00,52.542,15.99,0.6374396350203226,0.0,0.0,52.542,0.0,-52.542,811.529,864.071,0.0,1.0,1133.316963
115,2020-01-10 19:00:00,43.005,20.006666666666668,0.7975636208863824,43.005,43.005,0.0,0.0,0.0,864.071,864.071,0.0,-0.0,1116.217943
116,2020-01-10 20:00:00,35.929,16.625,0.6627538419145005,0.0,0.0,35.929,0.0,-35.929,864.071,900.0,0.0,1.0,1108.660201
117,2020-01-10 21:00:00,199.565,18.796666666666667,0.7493271006628307,99.565,99.565,100.0,0.0,-100.0,900.0,1000.0,0.0,1.0,1102.315413
118,2020-01-10 22:00:00,135.982,39.04,1.5563254128326074,235.982,135.982,0.0,100.0,100.0,1000.0,818.1818181818182,0.0,-0.0,1113.154748
119,2020-01-10 23:00:00,190.646,19.025833333333335,0.7584628052506247,90.64599999999996,90.64599999999996,100.0,0.0,-100.0,818.1818181818182,918.1818181818182,2.8421709430404014e-14,1.0,1179.067477
120,2020-01-11 00:00:00,222.599,47.69083333333334,1.9011899558358372,249.0,222.599,0.0,26.40100000000001,26.40100000000001,918.1818181818182,870.1800000000001,0.0,-0.0,1182.451154
121,2020-01-11 01:00:00,222.69,20.905833333333337,0.8334088036144901,192.8700000000001,192.8700000000001,29.819999999999936,0.0,-29.819999999999936,870.1800000000001,900.0,0.0,1.0,1171.145417
122,2020-01-11 02:00:00,234.733,19.1975,0.7653062785054812,134.733,134.733,100.0,0.0,-100.0,900.0,1000.0,0.0,1.0,1142.340044
