gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2018080906,3.1468837331685955,7.62187155338635,7.054354925203881,1.0592630830479526,2.998034412214076,7.261352862096223,6.7206800806834925,0.019841427755935337,0.015241100245517725,0.014174223228331484,0.4707484828338979,0.4051034249181311,0.37674618517386194,0.37024067250434123,0.318216068754658,0.29594094394183196
2018080907,2.9216184463249046,7.974306136827208,,1.0621237807369304,2.7859277282389106,7.603949998329818,,0.013047030148550798,0.009400282178330777,0.008742262425847622,0.5411980893465003,0.4673340685791183,0.43462068377858,,,
2018080908,2.873907916001605,8.215671870957346,7.391564018770544,1.0649844784259084,2.7428911830426967,7.841132909008702,7.054594777757676,0.011730378957911514,0.0,0.0,0.59316340669605,0.5138316329276449,0.4778634186227097,0.4280807714593238,0.3702799034292117,0.34436031018916685
2018080909,3.258021112595205,8.370671964158877,7.10720133999871,1.0678451761148862,3.1122749802437655,7.996213659010882,6.789263833963745,0.02357717811310822,0.018731616741413548,0.0174204035695146,0.6281806790268798,0.5457880664446659,0.5075829017935393,0.3789492399543095,0.32849822477109636,0.3055033490371196
2018080910,4.673475696686101,8.559188554345642,5.273812981491759,1.0733395265923211,4.472053598134777,8.190296142701083,5.046516950220532,0.09751424369819484,0.08368051553682698,0.0778228794492491,0.6725555324824508,0.5875544638792867,0.5464256514077366,0.14637567761835601,0.12647733183511534,0.11762391860665726
2018080911,5.166654665708637,8.730473231444359,5.539086396905455,1.0788338770697568,4.95239865478699,8.368429222495498,5.309386013903653,0.13677544086704896,0.11874607861089137,0.11043385310812896,0.7146195778115334,0.627664649582697,0.5837281241119081,0.1718737642870114,0.14965047913959117,0.13917494559981977
2018080912,5.351397622084083,8.87429197236642,6.223395100939125,1.084328227547192,5.138173673770282,8.520699937824139,5.975426818809826,0.1535750146848025,0.1342899964500901,0.12488969669858378,0.7512547878092215,0.6633339644550948,0.6169005869432381,0.24975232293471294,0.2194368492440173,0.20407626979693608
2018080913,5.537261849723858,8.651038029038082,6.471876000791989,1.086470553120468,5.320131311015252,8.31180817164433,6.218096793551257,0.171689778020093,0.15064836447868446,0.14010297896517654,0.6949022472987967,0.6147282276210244,0.5716972516875527,0.28264708950744555,0.24907872002260723,0.2316432096210247
2018080914,5.553010725532786,7.009788078784886,6.707370349321901,1.0886128786937446,5.3387670576309665,6.739339707001986,6.448589717221329,0.17328187617269086,0.15238860891401962,0.14172140629003824,0.36299758221653344,0.3209928178634378,0.29852332061299713,0.31624486572172406,0.2794545191570581,0.259892702816064
2018080915,4.716658649128509,5.061127028875391,7.033000062584618,1.0907552042670208,4.53765543968489,4.869050805225427,6.766088743180059,0.10064077933067694,0.0880523903801762,0.08188872305356386,0.12770378993132914,0.11214160714311716,0.10429169464309895,0.3667585370125066,0.32500034481148243,0.30225032067467866
2018080916,3.35283491544313,4.0914944865456375,5.616817427124379,1.0822626530265995,3.217197319764791,3.9259747133143086,5.3895913243209685,0.026977612642793858,0.022174044662139236,0.020621861535789487,0.060748152314402226,0.0520022248003873,0.048362069064360184,0.17982505644623337,0.1571968393421146,0.14619306058816656
2018080917,2.997670071375789,3.600953027486722,4.812345233103663,1.0737701017861785,2.8688570244627334,3.4462162752034824,4.605553679158869,0.015230379578047959,0.011593267230722626,0.010781738524572041,0.03684547494580226,0.030524403445205905,0.02838769520404149,0.10777617227387726,0.09271256412749374,0.08622268463856916
